Id;Food;Category;Carbohydrates;Sugars;Dietary fiber;Fats;Saturated fat;Protein;Calcium;Cholesterol;Copper;Iodine;Iron;Magnesium;Niacin;Phosphorus;Potassium;Riboflavin (B2);Selenium;Sodium;Thiamin (B1);Vitamin A;Vitamin B12;Vitamin C;Vitamin D;Vitamin E;Zinc;Artificially sweetened;Cholesterol-free;Egg-free;Fat-free;Fructose-sweetened;Gluten-free;High-fibre;Lacto-ovo-vegetarian;Lactose-free;Lacto-vegetarian;Milk-free;No added salt;No additives;No colouring agents;No preservatives;Soy-free;Sugar-free;Unsweetened;Vegan
11557;LEMON JUICE, UNSWEETENED, UNDILUTED;Fruits;1.6;1.6;0.1;0;0;0.31;7;0;0.03;1;0.1;7;0.1;8;130;0.01;1;1;0.03;1;0;36;0;0.2;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1
11558;ORANGE JUICE, UNSWEETENED, ADDED CALCIUM;Fruits;10;10;0;0.14;0.0263;0.56;120;0.2;0.02;1;0.1;9;0.534;16;190;0.02;0.05;3.8;0.07;0.75;0;36;0;0.16;0.04;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1
11562;BEEF MINCE, 17% FAT;Meat;0;0;0;16.949;7.496;19.065;9;51.7;0.061;3;1.845;17;8.574;140;250;0.12;17;58;0.08;23.83;1.4;0;0.2;0.465;5.5;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0
11563;CHICKEN LEG AND THIGH WITH SKIN;Meat;0;0;0;15.39;4.397;18.08;7;84;0.04;8;0.8;21;8.173;110;330;0.27;13;80;0.12;30;1;0;0.5;0.7;1.4;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0
11564;CHICKEN BREAST WITH SKIN;Meat;0;0;0;6.8;2.0256;21.5;8;97;0.06;5;0.6;22;11.458;190;270;0.13;12;80;0.07;55;1;0;0.5;0.7;1.1;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0
11565;CHICKEN BREAST STRIPS WITHOUT SKIN;Meat;0;0;0;2.01;0.5958;22.44;6;56.2;0.021;6;0.449;26;12.526;160;380;0.18;24;34;0.14;11;1;0;0.1;0.7;0.72;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0
11571;CREAM CHEESE, LOW-FAT, 11% FAT, PLAIN;Milk;4;4;0.5;11;7.5779;7.4;100;37.6;0.0273;11;0.098;11.796;0.711;76;275.8;0.156;2.299;300;0.0277;89.132;0.3;0.96;0.06;0.221;0.367;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0
11580;SNACK BAR WITH NUTS, SWEET;Pulses and nuts;32.298;22.021;7.92;33.079;3.2203;15.21;124.36;0;0.6057;4.15;2.852;149.137;7.121;270.3;473.86;0.279;2.455;1.66;0.3317;0.234;0;0.85;0;12.774;2.008;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;1;0;0;0
11587;ROSE HIP DRINK, CONTAINS OAT AND LACTOBACILLUS PLANTARUM, PRO VIVA;Fruits;11.675;10.481;1.787;0.334;0.0315;0.52;16.43;0;0.0256;0.93;0.145;5.85;0.149;14.2;36.68;0.003;0.632;0.96;0.008;13.33;0;35;0;0.23;0.103;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;0;1
11680;POTATO, PEELED, VACUUM PACKED, CATERING;Potatoes;15.5;0.6;1;0.114;0.0253;1.88;5.6;0.3;0.091;1;0.67;24;0.917;45;500;0.03;0.637;1;0.21;0.64;0;10;0;0.05;0.31;0;0;1;0;0;1;0;1;0;1;1;1;0;0;0;1;0;1;1
11685;COOKING OIL, 50% PALM, 25% PALM KERNEL AND 25% RAPESEED OIL;Fat;0;0;0;100;46.2566;0;0;34.5;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;9.258;0;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;1;1
11687;RICE DRINK;Cereals;9.6;6.571;0;1;0.1399;0.1;4.2;0;0.0393;0.65;0.468;14.412;0.768;32.6;33.83;0.004;3.033;30;0.0065;0;0;0;0;0.455;0.208;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;1;0;1;1
11690;MAYONNAISE, 15% FAT, LOW-FAT;Fat;5.392;5.392;0.051;15.497;1.1088;1.51;57.59;13.64;0.014;8.73;0.166;8.034;0.406;48.7;72;0.08;2.937;440.29;0.0168;9.049;0.23;0.49;0.065;3.386;0.257;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0
11691;ROE, AVERAGE, SALTED;Fish;0;0;0;6.46;1.0618;19.8;16.37;409;0.0333;258;0.389;10.2;6.042;76.3;26.55;0.703;8.575;2039.5;0.228;263.02;9.5;0;9.03;9.975;0.669;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0
11694;YOGHURT, FLAVOURED WITH JAM, 2% FAT, LOW-LACTOSE;Milk;13;12.5;0.416;2.139;1.3449;3.3;120;8.9;0.0203;9.7;0.136;11.37;0.641;63;346.45;0.132;2.007;48.54;0.0284;20.687;0.1;1.3;0.012;0.196;0.324;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0
11695;RAPESEED OIL, COLD PRESSED;Fat;0;0;0;100;6.3;0;0;5.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.88;0;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;1;1
11701;PALM KERNEL OIL;Fat;0;0;0;100;81.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.05;0;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;1;1
11723;YOGHURT, FLAVOURED, 3% FAT;Milk;14.492;14.462;0.136;2.9;1.9;3.8;105.14;9.24;0.012;12;0.086;10.019;0.736;76.8;154.65;0.157;2.493;37.62;0.0293;31.91;0.1;1.83;0.018;0.112;0.383;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0
